bucket,asset_or_run,source_type,status,origin,reason_for_use,next_action
01-opener,visual-library/02-series-kits/episode-neutral/chapter-intro-plate-01.svg,reusable-kit,approved,series-kits,primary opener surface for Resurrection Purgatory and the Intermediate State title,generate title variants from ep-06 title prompt pack
01-opener,visual-library/05-ai-automation/prompt-packs/episode-06/ep-06_titles-intermediate-state-prompt.md,text-prompt-pack,ready,site-content,uses actual site headings for opener and chapter-card copy,run in text tool and keep 1 to 3 strongest variants
02-historical-context,visual-library/05-ai-automation/briefs/manuscript-atmosphere-plates-brief.json,ai-brief,ready,automation-layer,generate codex and doctrine-table beds for exposition sections,run first image pass and log outputs
03-quote-witness,visual-library/02-series-kits/episode-neutral/quote-card-template-01.svg,reusable-kit,approved,series-kits,base card for Luke 16 2 Maccabees 12 Wisdom 3 and Enoch 22 evidence beats,pair with episode-06 afterlife prompt pack
03-quote-witness,visual-library/05-ai-automation/prompt-packs/episode-06/ep-06_afterlife-and-purgatory-prompt.md,text-prompt-pack,ready,site-content,uses exact site claims for doctrine cards and afterlife evidence text,run in text tool and select safest readable variants
04-map-sequence,visual-library/02-series-kits/frame-elements/codex-page-matte-01.svg,reusable-kit,approved,series-kits,can support a restrained layered-afterlife diagram instead of a geographic map,decide whether to build a two-stage doctrine diagram for first cut
05-canon-conflict,visual-library/02-series-kits/frame-elements/timeline-spine-overlay-01.svg,reusable-kit,approved,series-kits,visual spine for intermediate state final resurrection and later doctrine divergence,compose a three-step canon consequence sequence
06-transition-atmosphere,visual-library/02-series-kits/frame-elements/glow-veil-01.svg,reusable-kit,approved,series-kits,controlled reveal layer for solemn doctrine cards and passage transitions,use sparingly in section shifts
07-chapter-breaks,visual-library/02-series-kits/episode-neutral/chapter-intro-plate-02.svg,reusable-kit,approved,series-kits,alternate chapter-break surface for Luke 16 Enoch 22 and canon consequence sections,assign to the three act shifts
08-outro,visual-library/02-series-kits/episode-neutral/source-citation-card-01.svg,reusable-kit,approved,series-kits,close on the canon choices shape doctrine outcomes line,build final source close from the doctrine consequence set